,sn,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,totalcases_permillion,totaldeaths_permillion,total_tests,totaltests_permillion,population
63,56,Armenia,44649,+188,895,+4,"39,823",+566,"3,931",,"15,062",302,"215,810","72,804"
64,57,Kyrgyzstan,44293,+94,"1,060",,"39,599",+210,"3,634",24,"6,770",162,"267,718","40,917"
65,58,Switzerland,43957,+425,"2,013",,"36,500",,"5,444",14,"5,072",232,"1,085,932","125,310"
66,59,Uzbekistan,42998,,338,,"40,392",,"2,268",181,"1,281",10,"1,377,915","41,065"
67,60,Moldova,38906,,"1,047",,"27,017",,"10,842",575,"9,649",260,"207,925","51,566"
68,61,Afghanistan,38324,+20,"1,409",,"30,082",+369,"6,833",63,981,36,"104,155","2,665"
69,62,Azerbaijan,37031,,543,,"34,419",,"2,069",,"3,646",53,"949,313","93,478"
70,63,Kenya,34884,,589,,"21,059",,"13,236",44,646,11,"467,677","8,665"
71,64,Serbia,31772,,721,,"30,387",,664,39,"3,639",83,"966,563","110,706"
72,65,Ireland,29303,,"1,777",,"23,364",,"4,162",7,"5,923",359,"878,572","177,577"
5,,Oceania,29202,+74,779,+12,"24,599",+162,"3,824",34,,,,
73,66,Austria,29087,+358,735,,"24,828",+315,"3,524",28,"3,226",82,"1,247,807","138,405"
74,67,Czechia,27249,,429,,"19,027",,"7,793",44,"2,544",40,"945,964","88,304"
75,68,Sweden,26207,,"5,835",,N/A,N/A,N/A,16,"2,592",577,"1,124,269","111,197"
76,69,Australia,26207,+71,748,+11,"22,330",+161,"3,129",27,"1,026",29,"6,590,788","257,933"
77,70,El Salvador,26206,+107,752,+8,"15,587",+240,"9,867",245,"4,037",116,"327,719","50,480"
78,71,Palestine,25575,+433,176,+6,"16,661",+224,"8,738",,"4,993",34,"303,975","59,350"
79,72,Bosnia and Herzegovina,21142,,639,,"14,476",,"6,027",,"6,452",195,"192,556","58,759"
80,73,S. Korea,21010,+168,333,+2,"16,009",+226,"4,668",159,410,6,"2,037,045","39,726"
81,74,Paraguay,20654,,398,,"10,523",,"9,733",87,"2,889",56,"204,220","28,570"
82,75,Cameroon,19604,,415,,"18,448",,741,30,735,16,"149,000","5,589"
83,76,Lebanon,19490,,183,,"5,592",,"13,715",105,"2,858",27,"563,030","82,558"
84,77,Ivory Coast,18269,,119,,"17,162",,988,,690,4,"131,150","4,951"
85,78,Denmark,17547,,627,,"15,586",,"1,334",3,"3,027",108,"2,605,387","449,523"
86,79,Bulgaria,16954,,665,,"12,046",,"4,243",56,"2,443",96,"436,395","62,893"
87,80,Libya,16445,,262,,"1,910",,"14,273",,"2,388",38,"127,851","18,562"
88,81,Madagascar,15187,,198,,"14,075",,914,46,546,7,"59,956","2,156"
89,82,North Macedonia,14871,,609,,"12,054",,"2,208",2,"7,138",292,"154,948","74,374"
90,83,Senegal,13948,+67,290,+1,"9,851",+128,"3,807",31,829,17,"152,040","9,040"
91,84,Sudan,13189,,823,,"6,612",,"5,754",,300,19,401,9
92,85,Zambia,12639,,292,,"11,572",,775,,684,16,"120,967","6,549"
93,86,Croatia,11739,+311,197,+2,"8,771",+241,"2,771",19,"2,863",48,"187,851","45,811"
94,87,Norway,11231,,264,,"9,348",,"1,619",1,"2,069",49,"747,479","137,687"
95,88,Greece,11200,,279,,"3,804",,"7,117",39,"1,076",27,"992,566","95,314"
96,89,DRC,10178,+29,259,,"9,420",+53,499,,113,3,,
97,90,Albania,9967,,306,,"5,882",,"3,779",22,"3,464",106,"60,941","21,180"
98,91,Guinea,9649,,61,,"8,832",,756,24,731,5,"24,530","1,859"
99,92,Malaysia,9391,+6,128,,"9,113",+21,150,5,289,4,"1,299,724","40,066"
